TimeStamp,Voltage,ppm
27/11/2016-17:06:55,7.16734802,0.6
27/11/2016-17:06:57,7.16734637,0.4
27/11/2016-17:06:59,7.16734833,0.7
27/11/2016-17:07:01,7.16734792,0.6
27/11/2016-17:07:03,7.16734937,0.8
27/11/2016-17:07:05,7.16734989,0.9
27/11/2016-17:07:07,7.16734974,0.9
27/11/2016-17:07:09,7.16734902,0.8
27/11/2016-17:07:11,7.16734973,0.9
27/11/2016-17:07:39,7.16734874,0.7
27/11/2016-17:07:41,7.16734945,0.8
27/11/2016-17:07:43,7.16734886,0.8
27/11/2016-17:07:45,7.16735276,1.3
27/11/2016-17:07:47,7.16735220,1.2
27/11/2016-17:07:49,7.16735204,1.2
27/11/2016-17:07:51,7.16735154,1.1
27/11/2016-17:07:53,7.16735189,1.2
27/11/2016-17:07:55,7.16735196,1.2
27/11/2016-17:07:57,7.16735021,0.9
27/11/2016-17:07:59,7.16735182,1.2
27/11/2016-17:08:01,7.16735084,1.0
27/11/2016-17:08:03,7.16735105,1.1
27/11/2016-17:08:05,7.16735159,1.1
27/11/2016-17:08:07,7.16735049,1.0
27/11/2016-17:08:09,7.16735092,1.0
27/11/2016-17:08:11,7.16735129,1.1
27/11/2016-17:08:13,7.16734999,0.9
27/11/2016-17:08:15,7.16734996,0.9
27/11/2016-17:08:17,7.16734991,0.9
27/11/2016-17:08:19,7.16735103,1.1
27/11/2016-17:08:21,7.16735214,1.2
27/11/2016-17:08:23,7.16735264,1.3
27/11/2016-17:08:25,7.16735343,1.4
27/11/2016-17:08:27,7.16735093,1.0
27/11/2016-17:08:29,7.16735129,1.1
27/11/2016-17:08:31,7.16735054,1.0
27/11/2016-17:08:33,7.16735298,1.3
27/11/2016-17:08:35,7.16735419,1.5
27/11/2016-17:08:37,7.16735465,1.6
27/11/2016-17:08:39,7.16735343,1.4
27/11/2016-17:08:41,7.16735325,1.4
27/11/2016-17:08:43,7.16735422,1.5
27/11/2016-17:08:45,7.16735309,1.4
27/11/2016-17:08:47,7.16735365,1.4
27/11/2016-17:08:49,7.16735304,1.3
27/11/2016-17:08:51,7.16735501,1.6
27/11/2016-17:08:53,7.16735625,1.8
27/11/2016-17:08:55,7.16735565,1.7
27/11/2016-17:08:57,7.16735403,1.5
27/11/2016-17:08:59,7.16735411,1.5
27/11/2016-17:09:01,7.16735637,1.8
27/11/2016-17:09:03,7.16735670,1.9
27/11/2016-17:09:05,7.16735586,1.7
27/11/2016-17:09:07,7.16735488,1.6
27/11/2016-17:09:09,7.16735442,1.5
27/11/2016-17:09:11,7.16735431,1.5
