TimeStamp,Voltage,Temperature,ppm
27/11/2016-18:53:27,7.16507691,32.5,-1.318
27/11/2016-18:53:35,7.16507696,32.5,-1.312
27/11/2016-18:53:43,7.16507678,32.5,-1.337
27/11/2016-18:53:51,7.16507689,32.5,-1.322
27/11/2016-18:53:59,7.16507693,32.5,-1.316
27/11/2016-18:54:07,7.16507678,32.5,-1.337
27/11/2016-18:54:15,7.16507685,32.5,-1.327
27/11/2016-18:54:23,7.16507693,32.5,-1.316
27/11/2016-18:54:31,7.16507700,32.5,-1.306
27/11/2016-18:54:40,7.16507712,32.5,-1.289
27/11/2016-18:54:48,7.16507705,32.5,-1.300
27/11/2016-18:54:56,7.16507712,32.5,-1.289
27/11/2016-18:55:04,7.16507699,32.5,-1.308
27/11/2016-18:55:12,7.16507697,32.5,-1.310
27/11/2016-18:55:22,7.16507691,32.5,-1.318
27/11/2016-18:55:30,7.16507650,32.5,-1.376
27/11/2016-18:55:38,7.16507632,32.5,-1.401
27/11/2016-18:55:46,7.16507669,32.5,-1.349
27/11/2016-18:55:54,7.16507699,32.5,-1.308
27/11/2016-18:56:02,7.16507711,32.5,-1.292
27/11/2016-18:56:10,7.16507666,32.5,-1.353
27/11/2016-18:56:18,7.16507691,32.5,-1.318
27/11/2016-18:56:26,7.16507705,32.5,-1.300
27/11/2016-18:56:34,7.16507683,32.5,-1.331
27/11/2016-18:56:42,7.16507687,32.5,-1.324
27/11/2016-19:00:01,7.16507689,32.5,-1.322
27/11/2016-19:00:09,7.16507695,32.5,-1.313
27/11/2016-19:00:17,7.16507642,32.5,-1.387
27/11/2016-19:00:25,7.16507696,32.5,-1.311
27/11/2016-19:00:33,7.16507719,32.5,-1.280
27/11/2016-19:00:41,7.16507702,32.5,-1.303
27/11/2016-19:04:01,7.16507686,32.5,-1.326
27/11/2016-19:04:09,7.16507686,32.5,-1.326
27/11/2016-19:04:17,7.16507711,32.5,-1.291
27/11/2016-19:04:25,7.16507709,32.5,-1.293
27/11/2016-19:04:33,7.16507686,32.5,-1.326
27/11/2016-19:04:41,7.16507693,32.5,-1.316
27/11/2016-19:04:49,7.16507680,32.5,-1.335
27/11/2016-19:04:57,7.16507705,32.5,-1.299
27/11/2016-19:05:05,7.16507675,32.5,-1.341
27/11/2016-19:05:13,7.16507708,32.5,-1.295
27/11/2016-19:05:21,7.16507698,32.5,-1.310
27/11/2016-19:05:29,7.16507696,32.5,-1.312
27/11/2016-19:05:38,7.16507699,32.5,-1.308
27/11/2016-19:05:46,7.16507535,32.5,-1.536
27/11/2016-19:05:54,7.16507702,32.5,-1.304
27/11/2016-19:06:02,7.16507723,32.5,-1.275
27/11/2016-19:06:10,7.16507721,32.5,-1.277
27/11/2016-19:06:18,7.16507711,32.5,-1.291
27/11/2016-19:06:26,7.16507721,32.5,-1.277
27/11/2016-19:06:34,7.16507749,32.5,-1.238
27/11/2016-19:06:42,7.16507721,32.5,-1.277
