TimeStamp,Voltage,ppm
18/12/2016-15:02:09,16.37073420,-25551.5
18/12/2016-15:02:10,16.37073280,-25551.6
18/12/2016-15:02:10,16.37069500,-25553.9
18/12/2016-15:02:11,16.37068620,-25554.4
18/12/2016-15:02:11,16.37070280,-25553.4
18/12/2016-15:02:12,16.37068870,-25554.2
18/12/2016-15:02:12,16.37069390,-25553.9
18/12/2016-15:02:13,16.37066370,-25555.7
18/12/2016-15:02:13,16.37069200,-25554.0
18/12/2016-15:02:14,16.37068830,-25554.3
18/12/2016-15:02:14,16.37070990,-25553.0
18/12/2016-15:02:15,16.37069530,-25553.9
18/12/2016-15:02:15,16.37069610,-25553.8
18/12/2016-15:02:15,16.37069250,-25554.0
18/12/2016-15:02:16,16.37070500,-25553.3
18/12/2016-15:02:16,16.37073630,-25551.4
18/12/2016-15:02:17,16.37068720,-25554.3
18/12/2016-15:02:17,16.37074270,-25551.0
18/12/2016-15:02:18,16.37068160,-25554.7
18/12/2016-15:02:18,16.37067000,-25555.4
18/12/2016-15:02:19,16.37069520,-25553.9
18/12/2016-15:02:19,16.37067220,-25555.2
18/12/2016-15:02:20,16.37070500,-25553.3
18/12/2016-15:02:20,16.37070770,-25553.1
18/12/2016-15:02:21,16.37069700,-25553.8
18/12/2016-15:02:21,16.37067430,-25555.1
18/12/2016-15:02:22,16.37069320,-25554.0
18/12/2016-15:02:24,16.37068200,-25554.6
18/12/2016-15:02:25,16.37067860,-25554.8
18/12/2016-15:02:25,16.37071180,-25552.9
18/12/2016-15:02:26,16.37073990,-25551.2
18/12/2016-15:02:26,16.37068860,-25554.2
18/12/2016-15:02:27,16.37068380,-25554.5
18/12/2016-15:02:27,16.37071090,-25552.9
18/12/2016-15:02:27,16.37071040,-25553.0
18/12/2016-15:02:28,16.37073910,-25551.2
18/12/2016-15:02:28,16.37069410,-25553.9
18/12/2016-15:02:29,16.37069830,-25553.7
18/12/2016-15:02:29,16.37069220,-25554.0
18/12/2016-15:02:30,16.37068880,-25554.2
18/12/2016-15:02:30,16.37069920,-25553.6
18/12/2016-15:02:31,16.37067610,-25555.0
18/12/2016-15:02:31,16.37068680,-25554.4
18/12/2016-15:02:32,16.37069130,-25554.1
18/12/2016-15:02:32,16.37071120,-25552.9
18/12/2016-15:02:33,16.37069090,-25554.1
18/12/2016-15:02:33,16.37071030,-25553.0
18/12/2016-15:02:34,16.37066610,-25555.6
18/12/2016-15:02:34,16.37066590,-25555.6
18/12/2016-15:02:34,16.37072600,-25552.0
18/12/2016-15:02:35,16.37072450,-25552.1
18/12/2016-15:02:35,16.37066070,-25555.9
