TimeStamp,Voltage
10/12/2016-07:12:03,2.1797
10/12/2016-07:12:13,2.2042
10/12/2016-07:12:23,2.2277
10/12/2016-07:12:33,2.2518
10/12/2016-07:12:43,2.2750
10/12/2016-07:12:53,2.2981
10/12/2016-07:13:03,2.3218
10/12/2016-07:13:13,2.3445
10/12/2016-07:13:23,2.3679
10/12/2016-07:13:33,2.3890
10/12/2016-07:13:43,2.4118
10/12/2016-07:13:53,2.4339
10/12/2016-07:14:03,2.4559
10/12/2016-07:14:13,2.4786
10/12/2016-07:14:23,2.5003
10/12/2016-07:14:33,2.5219
10/12/2016-07:14:43,2.5440
10/12/2016-07:14:53,2.5653
10/12/2016-07:15:03,2.5859
10/12/2016-07:15:13,2.6012
10/12/2016-07:15:23,2.6139
10/12/2016-07:15:33,2.6247
10/12/2016-07:15:43,2.6333
10/12/2016-07:15:53,2.6406
10/12/2016-07:16:03,2.6465
10/12/2016-07:16:13,2.6515
10/12/2016-07:16:23,2.6558
10/12/2016-07:16:33,2.6592
10/12/2016-07:16:43,2.6622
10/12/2016-07:16:53,2.6646
10/12/2016-07:17:03,2.6667
10/12/2016-07:17:13,2.6684
10/12/2016-07:17:23,2.6699
10/12/2016-07:17:33,2.6711
10/12/2016-07:17:43,2.6722
10/12/2016-07:17:53,2.6731
10/12/2016-07:18:03,2.6738
10/12/2016-07:18:13,2.6744
10/12/2016-07:18:23,2.6750
10/12/2016-07:18:33,2.6754
10/12/2016-07:18:43,2.6758
10/12/2016-07:18:53,2.6761
10/12/2016-07:19:03,2.6765
10/12/2016-07:19:13,2.6767
10/12/2016-07:19:23,2.6769
10/12/2016-07:19:33,2.6771
10/12/2016-07:19:43,2.6773
10/12/2016-07:19:53,2.6774
10/12/2016-07:20:03,2.6775
