TimeStamp,Voltage,ppm
27/11/2016-19:26:08,-0.79064850,-1110349.2
27/11/2016-19:26:09,-0.79909820,-1111528.5
27/11/2016-19:26:09,-0.80731830,-1112675.7
27/11/2016-19:26:10,-0.81536700,-1113799.1
27/11/2016-19:26:11,-0.82329230,-1114905.2
27/11/2016-19:26:11,-0.83114990,-1116001.9
27/11/2016-19:26:12,-0.83893240,-1117088.0
27/11/2016-19:26:13,-0.84665410,-1118165.7
27/11/2016-19:26:14,-0.85432290,-1119236.1
27/11/2016-19:26:14,-0.86196410,-1120302.5
27/11/2016-19:26:15,-0.86956480,-1121363.3
27/11/2016-19:26:16,-0.87711590,-1122417.2
27/11/2016-19:26:16,-0.88467580,-1123472.3
27/11/2016-19:26:17,-0.89218840,-1124520.9
27/11/2016-19:26:18,-0.89968210,-1125566.7
27/11/2016-19:26:18,-0.90714610,-1126608.5
27/11/2016-19:26:19,-0.91459180,-1127647.7
27/11/2016-19:26:20,-0.92202040,-1128684.5
27/11/2016-19:26:21,-0.92941370,-1129716.3
27/11/2016-19:26:21,-0.93681800,-1130749.7
27/11/2016-19:26:22,-0.94419510,-1131779.3
27/11/2016-19:26:23,-0.95154990,-1132805.8
27/11/2016-19:26:23,-0.95889190,-1133830.5
27/11/2016-19:26:24,-0.96620970,-1134851.9
27/11/2016-19:26:25,-0.97352840,-1135873.3
27/11/2016-19:26:25,-0.98081240,-1136889.9
27/11/2016-19:26:26,-0.98809970,-1137907.0
27/11/2016-19:26:27,-0.99537360,-1138922.2
27/11/2016-19:26:28,-1.00262160,-1139933.8
27/11/2016-19:26:28,-1.00987260,-1140945.8
27/11/2016-19:26:29,-1.01709990,-1141954.5
27/11/2016-19:26:30,-1.02432790,-1142963.3
27/11/2016-19:26:30,-1.03152830,-1143968.2
27/11/2016-19:26:31,-1.03872730,-1144973.0
27/11/2016-19:26:32,-1.04591900,-1145976.7
27/11/2016-19:26:32,-1.05308470,-1146976.8
27/11/2016-19:26:33,-1.06025020,-1147976.9
27/11/2016-19:26:37,-1.10280450,-1153916.1
27/11/2016-19:26:38,-1.10989730,-1154906.0
27/11/2016-19:26:39,-1.11696460,-1155892.4
27/11/2016-19:26:39,-1.12403890,-1156879.8
27/11/2016-19:26:40,-1.13109740,-1157864.9
27/11/2016-19:26:41,-1.13812710,-1158846.0
27/11/2016-19:26:42,-1.14516990,-1159829.0
27/11/2016-19:26:42,-1.15219400,-1160809.3
27/11/2016-19:26:43,-1.15920590,-1161787.9
27/11/2016-19:26:44,-1.16621930,-1162766.8
27/11/2016-19:26:44,-1.17321630,-1163743.3
27/11/2016-19:26:45,-1.18020190,-1164718.3
27/11/2016-19:27:00,-0.78991080,-1110246.2
27/11/2016-19:27:01,-0.79810060,-1111389.2
27/11/2016-19:27:01,-0.80608000,-1112502.9
27/11/2016-19:27:02,-0.81395810,-1113602.4
27/11/2016-19:27:03,-0.82172820,-1114686.9
27/11/2016-19:27:04,-0.82943910,-1115763.1
27/11/2016-19:27:04,-0.83711570,-1116834.5
27/11/2016-19:27:05,-0.84471620,-1117895.3
27/11/2016-19:27:06,-0.85229600,-1118953.2
27/11/2016-19:27:06,-0.85983520,-1120005.4
27/11/2016-19:27:07,-0.86735070,-1121054.3
27/11/2016-19:27:08,-0.87484280,-1122100.0
27/11/2016-19:27:08,-0.88229630,-1123140.2
27/11/2016-19:27:09,-0.88976260,-1124182.3
27/11/2016-19:27:10,-0.89717970,-1125217.5
27/11/2016-19:27:11,-0.90458800,-1126251.5
27/11/2016-19:27:11,-0.91198900,-1127284.4
27/11/2016-19:27:12,-0.91935870,-1128313.0
27/11/2016-19:27:13,-0.92672830,-1129341.5
27/11/2016-19:27:13,-0.93407570,-1130367.0
27/11/2016-19:27:14,-0.94140750,-1131390.3
27/11/2016-19:27:15,-0.94871820,-1132410.6
27/11/2016-19:27:15,-0.95602030,-1133429.8
27/11/2016-19:27:16,-0.96332790,-1134449.7
27/11/2016-19:27:17,-0.97058920,-1135463.1
27/11/2016-19:27:18,-0.97785590,-1136477.3
27/11/2016-19:27:18,-0.98511340,-1137490.2
27/11/2016-19:27:19,-0.99235720,-1138501.2
27/11/2016-19:27:20,-0.99956310,-1139506.9
27/11/2016-19:27:20,-1.00676770,-1140512.5
27/11/2016-19:27:21,-1.01398880,-1141520.3
