TimeStamp,Voltage,ppm
19/12/2016-02:46:06,4.21,0
19/12/2016-02:46:07,4.2099,-23.8
19/12/2016-02:46:07,4.2099,-23.8
19/12/2016-02:46:08,4.2098,-47.5
19/12/2016-02:46:08,4.2098,-47.5
19/12/2016-02:46:09,4.2098,-47.5
19/12/2016-02:46:09,4.2097,-71.3
19/12/2016-02:46:10,4.2097,-71.3
19/12/2016-02:46:10,4.2097,-71.3
19/12/2016-02:46:11,4.2097,-71.3
19/12/2016-02:46:12,4.2097,-71.3
19/12/2016-02:46:12,4.2097,-71.3
19/12/2016-02:46:13,4.2097,-71.3
19/12/2016-02:46:13,4.2097,-71.3
19/12/2016-02:46:14,4.2097,-71.3
19/12/2016-02:46:14,4.2097,-71.3
19/12/2016-02:46:15,4.2097,-71.3
19/12/2016-02:46:15,4.2097,-71.3
19/12/2016-02:46:16,4.2097,-71.3
19/12/2016-02:46:16,4.2097,-71.3
19/12/2016-02:46:17,4.2097,-71.3
19/12/2016-02:46:17,4.2097,-71.3
19/12/2016-02:46:18,4.2097,-71.3
19/12/2016-02:46:18,4.2097,-71.3
19/12/2016-02:46:19,4.2097,-71.3
19/12/2016-02:46:20,4.2097,-71.3
19/12/2016-02:46:20,4.2097,-71.3
19/12/2016-02:46:21,4.2097,-71.3
19/12/2016-02:46:21,4.2097,-71.3
19/12/2016-02:46:22,4.2097,-71.3
19/12/2016-02:46:22,4.2097,-71.3
19/12/2016-02:46:23,4.2097,-71.3
19/12/2016-02:46:23,4.2097,-71.3
19/12/2016-02:46:24,4.2097,-71.3
19/12/2016-02:46:24,4.2097,-71.3
19/12/2016-02:46:25,4.2097,-71.3
19/12/2016-02:46:25,4.2097,-71.3
19/12/2016-02:46:26,4.2097,-71.3
19/12/2016-02:46:26,4.2097,-71.3
19/12/2016-02:46:27,4.2097,-71.3
19/12/2016-02:46:28,4.2097,-71.3
19/12/2016-02:46:28,4.2097,-71.3
19/12/2016-02:46:29,4.2097,-71.3
19/12/2016-02:46:29,4.2097,-71.3
19/12/2016-02:46:30,4.2097,-71.3
19/12/2016-02:46:30,4.2097,-71.3
19/12/2016-02:46:31,4.2097,-71.3
19/12/2016-02:46:31,4.2097,-71.3
19/12/2016-02:46:32,4.2097,-71.3
19/12/2016-02:46:32,4.2097,-71.3
19/12/2016-02:46:33,4.2097,-71.3
19/12/2016-02:46:33,4.2097,-71.3
19/12/2016-02:46:34,4.2097,-71.3
19/12/2016-02:46:34,4.2097,-71.3
19/12/2016-02:46:35,4.2097,-71.3
19/12/2016-02:46:36,4.2097,-71.3
19/12/2016-02:46:36,4.2097,-71.3
19/12/2016-02:46:37,4.2097,-71.3
19/12/2016-02:46:37,4.2097,-71.3
19/12/2016-02:46:38,4.2097,-71.3
19/12/2016-02:46:38,4.2097,-71.3
19/12/2016-02:46:39,4.2097,-71.3
19/12/2016-02:46:39,4.2097,-71.3
19/12/2016-02:46:40,4.2097,-71.3
19/12/2016-02:46:40,4.2097,-71.3
19/12/2016-02:46:41,4.2097,-71.3
19/12/2016-02:46:41,4.2097,-71.3
19/12/2016-02:46:42,4.2097,-71.3
19/12/2016-02:46:42,4.2097,-71.3
19/12/2016-02:46:43,4.2097,-71.3
19/12/2016-02:46:44,4.2097,-71.3
19/12/2016-02:46:44,4.2097,-71.3
19/12/2016-02:46:45,4.2097,-71.3
19/12/2016-02:46:45,4.2097,-71.3
19/12/2016-02:46:46,4.2097,-71.3
19/12/2016-02:46:46,4.2097,-71.3
19/12/2016-02:46:47,4.2097,-71.3
19/12/2016-02:46:47,4.2097,-71.3
19/12/2016-02:46:48,4.2097,-71.3
19/12/2016-02:46:48,4.2097,-71.3
19/12/2016-02:46:49,4.2097,-71.3
19/12/2016-02:46:49,4.2097,-71.3
19/12/2016-02:46:50,4.2097,-71.3
19/12/2016-02:46:50,4.2097,-71.3
19/12/2016-02:46:51,4.2097,-71.3
19/12/2016-02:46:52,4.2097,-71.3
19/12/2016-02:46:52,4.2097,-71.3
19/12/2016-02:46:53,4.2097,-71.3
19/12/2016-02:46:53,4.2097,-71.3
19/12/2016-02:46:54,4.2097,-71.3
19/12/2016-02:46:54,4.2097,-71.3
19/12/2016-02:46:55,4.2097,-71.3
19/12/2016-02:46:55,4.2097,-71.3
19/12/2016-02:46:56,4.2097,-71.3
19/12/2016-02:46:56,4.2097,-71.3
19/12/2016-02:46:57,4.2097,-71.3
19/12/2016-02:46:57,4.2097,-71.3
19/12/2016-02:46:58,4.2097,-71.3
19/12/2016-02:46:58,4.2097,-71.3
19/12/2016-02:46:59,4.2097,-71.3
19/12/2016-02:47:00,4.2097,-71.3
19/12/2016-02:47:00,4.2097,-71.3
19/12/2016-02:47:01,4.2097,-71.3
19/12/2016-02:47:01,4.2097,-71.3
19/12/2016-02:47:02,4.2097,-71.3
19/12/2016-02:47:02,4.2097,-71.3
19/12/2016-02:47:03,4.2097,-71.3
19/12/2016-02:47:03,4.2097,-71.3
19/12/2016-02:47:04,4.2097,-71.3
19/12/2016-02:47:04,4.2097,-71.3
19/12/2016-02:47:05,4.2097,-71.3
19/12/2016-02:47:05,4.2097,-71.3
